
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:      0.4
 0.666655  0.245932  0.4 
 0.595452  0.166657  0.4 
 0.546036 -8.5e-06  0.4 
 0.595452 -0.166675  0.4 
 0.666655 -0.245949  0.4 
 0.833321 -0.191531  0.4 
 0.850484 -0.166675  0.4 
 0.889257 -8.5e-06  0.4 
 0.850484  0.166657  0.4 
 0.833321  0.191514  0.4 
 0.666655  0.245932  0.4 


# Contour 1, label:      0.3
 0.499989  0.510291  0.3 
 0.492207  0.499989  0.3 
 0.400839  0.333323  0.3 
 0.351832  0.166657  0.3 
 0.336387 -8.5e-06  0.3 
 0.351832 -0.166675  0.3 
 0.400839 -0.333341  0.3 
 0.492207 -0.500006  0.3 
 0.499989 -0.510308  0.3 
 0.666655 -0.593357  0.3 
 0.833321 -0.570211  0.3 
 0.940393 -0.500006  0.3 
 0.999987 -0.447545  0.3 
 1.0792 -0.33334  0.3 
 1.14404 -0.166675  0.3 
 1.16441 -8.5e-06  0.3 
 1.14404  0.166657  0.3 
 1.0792  0.333323  0.3 
 0.999987  0.447528  0.3 
 0.940393  0.499989  0.3 
 0.833321  0.570194  0.3 
 0.666655  0.593339  0.3 
 0.499989  0.510291  0.3 


# Contour 2, label:      0.2
 0.666655  0.873199  0.2 
 0.54842  0.833321  0.2 
 0.499989  0.816692  0.2 
 0.358212  0.666655  0.2 
 0.333323  0.63125  0.2 
 0.282504  0.499989  0.2 
 0.241765  0.333323  0.2 
 0.219901  0.166657  0.2 
 0.213002 -8.5e-06  0.2 
 0.219901 -0.166675  0.2 
 0.241765 -0.333341  0.2 
 0.282504 -0.500006  0.2 
 0.333323 -0.631267  0.2 
 0.358212 -0.666672  0.2 
 0.499989 -0.816709  0.2 
 0.54842 -0.833338  0.2 
 0.666655 -0.873216  0.2 
 0.833321 -0.857099  0.2 
 0.887311 -0.833338  0.2 
 0.999987 -0.781313  0.2 
 1.13541 -0.666672  0.2 
 1.16665 -0.633205  0.2 
 1.26219 -0.500006  0.2 
 1.33332 -0.343781  0.2 
 1.33786 -0.33334  0.2 
 1.38208 -0.166675  0.2 
 1.39622 -8.5e-06  0.2 
 1.38208  0.166657  0.2 
 1.33786  0.333323  0.2 
 1.33332  0.343764  0.2 
 1.26219  0.499989  0.2 
 1.16665  0.633188  0.2 
 1.13541  0.666655  0.2 
 0.999987  0.781296  0.2 
 0.887311  0.833321  0.2 
 0.833321  0.857082  0.2 
 0.666655  0.873199  0.2 


# Contour 3, label:      0.1
 0.666655  1.20931  0.1 
 0.503022  1.16665  0.1 
 0.499989  1.16597  0.1 
 0.333323  1.04884  0.1 
 0.300884  0.999987  0.1 
 0.213316  0.833321  0.1 
 0.166657  0.695311  0.1 
 0.160321  0.666655  0.1 
 0.131999  0.499989  0.1 
 0.114877  0.333323  0.1 
 0.105695  0.166657  0.1 
 0.102794 -8.5e-06  0.1 
 0.105695 -0.166675  0.1 
 0.114877 -0.33334  0.1 
 0.131999 -0.500006  0.1 
 0.160321 -0.666672  0.1 
 0.166657 -0.695309  0.1 
 0.213342 -0.833338  0.1 
 0.300884 -1  0.1 
 0.333323 -1.04886  0.1 
 0.499989 -1.16599  0.1 
 0.503022 -1.16667  0.1 
 0.666655 -1.20933  0.1 
 0.833321 -1.1973  0.1 
 0.923354 -1.16667  0.1 
 0.999987 -1.14356  0.1 
 1.16665 -1.05014  0.1 
 1.22829 -1  0.1 
 1.33332 -0.903815  0.1 
 1.3955 -0.833338  0.1 
 1.49998 -0.676852  0.1 
 1.50652 -0.666672  0.1 
 1.59085 -0.500006  0.1 
 1.6418 -0.33334  0.1 
 1.66665 -0.183017  0.1 
 1.67003 -0.166675  0.1 
 1.68176 -8.5e-06  0.1 
 1.67004  0.166657  0.1 
 1.66665  0.183003  0.1 
 1.6418  0.333323  0.1 
 1.59086  0.499989  0.1 
 1.50653  0.666655  0.1 
 1.49998  0.676856  0.1 
 1.39551  0.833321  0.1 
 1.33332  0.903818  0.1 
 1.22831  0.999987  0.1 
 1.16665  1.05014  0.1 
 0.999987  1.14356  0.1 
 0.923388  1.16665  0.1 
 0.833321  1.19729  0.1 
 0.666655  1.20931  0.1 


# Contour 4, label:        0
 2.39212e-07  1.99998  0 
 2.39368e-07  1.83332  0 
 2.39341e-07  1.66665  0 
 2.40435e-07  1.49998  0 
 2.43081e-07  1.33332  0 
 2.38254e-07  1.16665  0 
 2.39874e-07  0.999987  0 
 2.38117e-07  0.833321  0 
 2.39691e-07  0.666655  0 
 2.40094e-07  0.499989  0 
 2.39217e-07  0.333323  0 
 2.39861e-07  0.166657  0 
 2.37472e-07 -8.5e-06  0 
 2.39861e-07 -0.166675  0 
 2.39217e-07 -0.33334  0 
 2.40094e-07 -0.500006  0 
 2.38464e-07 -0.666672  0 
 2.39733e-07 -0.833338  0 
 2.37261e-07 -1  0 
 2.38254e-07 -1.16667  0 
 2.43081e-07 -1.33334  0 
 2.40435e-07 -1.5  0 
 2.39338e-07 -1.66667  0 
 2.39321e-07 -1.83333  0 
 2.39279e-07 -2  0 


# Contour 5, label:     -0.1
-0.833338  1.1973 -0.1 
-0.923408  1.16665 -0.1 
-1  1.14356 -0.1 
-1.16667  1.05013 -0.1 
-1.2283  0.999987 -0.1 
-1.33334  0.903798 -0.1 
-1.39551  0.833321 -0.1 
-1.5  0.676832 -0.1 
-1.50654  0.666655 -0.1 
-1.59085  0.499989 -0.1 
-1.6418  0.333323 -0.1 
-1.66667  0.182902 -0.1 
-1.67003  0.166657 -0.1 
-1.68176 -8.5e-06 -0.1 
-1.67003 -0.166675 -0.1 
-1.66667 -0.182917 -0.1 
-1.6418 -0.33334 -0.1 
-1.59085 -0.500006 -0.1 
-1.50652 -0.666672 -0.1 
-1.5 -0.676823 -0.1 
-1.3955 -0.833338 -0.1 
-1.33334 -0.903797 -0.1 
-1.22828 -1 -0.1 
-1.16667 -1.05013 -0.1 
-1 -1.14356 -0.1 
-0.923376 -1.16667 -0.1 
-0.833338 -1.19731 -0.1 
-0.666672 -1.20934 -0.1 
-0.502981 -1.16667 -0.1 
-0.500006 -1.166 -0.1 
-0.33334 -1.04878 -0.1 
-0.300962 -1 -0.1 
-0.213339 -0.833338 -0.1 
-0.166675 -0.695384 -0.1 
-0.160321 -0.666672 -0.1 
-0.131999 -0.500006 -0.1 
-0.114876 -0.33334 -0.1 
-0.105695 -0.166675 -0.1 
-0.102794 -8.5e-06 -0.1 
-0.105695  0.166657 -0.1 
-0.114876  0.333323 -0.1 
-0.131999  0.499989 -0.1 
-0.160321  0.666655 -0.1 
-0.166675  0.695385 -0.1 
-0.213313  0.833321 -0.1 
-0.300882  0.999987 -0.1 
-0.33334  1.04887 -0.1 
-0.500006  1.16599 -0.1 
-0.502981  1.16665 -0.1 
-0.666672  1.20932 -0.1 
-0.833338  1.1973 -0.1 


# Contour 6, label:     -0.2
-0.833338  0.857094 -0.2 
-0.887355  0.833321 -0.2 
-1  0.781307 -0.2 
-1.13544  0.666655 -0.2 
-1.16667  0.633199 -0.2 
-1.26222  0.499989 -0.2 
-1.33334  0.34378 -0.2 
-1.33788  0.333323 -0.2 
-1.38211  0.166657 -0.2 
-1.39625 -8.5e-06 -0.2 
-1.38211 -0.166675 -0.2 
-1.33788 -0.33334 -0.2 
-1.33334 -0.343797 -0.2 
-1.26222 -0.500006 -0.2 
-1.16667 -0.633216 -0.2 
-1.13544 -0.666672 -0.2 
-1 -0.781324 -0.2 
-0.887355 -0.833338 -0.2 
-0.833338 -0.857112 -0.2 
-0.666672 -0.873231 -0.2 
-0.548381 -0.833338 -0.2 
-0.500006 -0.816729 -0.2 
-0.358202 -0.666672 -0.2 
-0.33334 -0.631309 -0.2 
-0.282502 -0.500006 -0.2 
-0.241762 -0.33334 -0.2 
-0.219898 -0.166675 -0.2 
-0.213 -8.5e-06 -0.2 
-0.219898  0.166657 -0.2 
-0.241762  0.333323 -0.2 
-0.282502  0.499989 -0.2 
-0.33334  0.631292 -0.2 
-0.358202  0.666655 -0.2 
-0.500006  0.816712 -0.2 
-0.548381  0.833321 -0.2 
-0.666672  0.873214 -0.2 
-0.833338  0.857094 -0.2 


# Contour 7, label:     -0.3
-0.833338  0.570212 -0.3 
-0.940434  0.499989 -0.3 
-1  0.447548 -0.3 
-1.07923  0.333323 -0.3 
-1.14407  0.166657 -0.3 
-1.16443 -8.5e-06 -0.3 
-1.14407 -0.166675 -0.3 
-1.0791 -0.33334 -0.3 
-1 -0.447455 -0.3 
-0.940434 -0.500006 -0.3 
-0.833338 -0.570229 -0.3 
-0.666672 -0.593378 -0.3 
-0.500006 -0.51034 -0.3 
-0.4922 -0.500006 -0.3 
-0.40083 -0.33334 -0.3 
-0.351822 -0.166675 -0.3 
-0.336376 -8.5e-06 -0.3 
-0.351822  0.166657 -0.3 
-0.40083  0.333323 -0.3 
-0.4922  0.499989 -0.3 
-0.500006  0.510323 -0.3 
-0.666672  0.593361 -0.3 
-0.833338  0.570212 -0.3 


# Contour 8, label:     -0.4
-0.833338  0.191228 -0.4 
-0.850291  0.166657 -0.4 
-0.889173 -8.5e-06 -0.4 
-0.850291 -0.166675 -0.4 
-0.833338 -0.191245 -0.4 
-0.666672 -0.246001 -0.4 
-0.595416 -0.166675 -0.4 
-0.54607 -8.5e-06 -0.4 
-0.595416  0.166657 -0.4 
-0.666672  0.245984 -0.4 
-0.833338  0.191228 -0.4 

